id,source,category,age_range,difficulty,language_style,title,india_concept,bible_reference,memory_verse,kid_friendly_explanation,activity_idea,kid_prompt,answer_key,safety_tag
1,Hinglish,Honesty,6–8,1,Hinglish,"In park clean-ups, choose Honesty: Using inside voices in public places.",Using inside voices in public places,Micah 6:8,"Act justly, love mercy, and walk humbly with your God.","Using inside voices in public places ke dauran park clean-ups mein honesty dikhana seekhein. Paani bachao, future bachao.",Draw a comic showing the lesson.,What is one way to show honesty during park clean-ups?,"By practicing using inside voices in public places and remembering Micah 6:8 — Act justly, love mercy, and walk humbly with your God.",non_sensitive
2,Hinglish,Work,6–8,2,Hinglish,"In classroom chores, choose Peacemaking: Library book care.",Library book care,Proverbs 22:1,A good name is more desirable than great riches.,Library book care ke dauran classroom chores mein peacemaking dikhana seekhein. Elders ko respect dikhana chahiye.,Draw a comic showing the lesson.,What is one way to show peacemaking during classroom chores?,By practicing library book care and remembering Proverbs 22:1 — A good name is more desirable than great riches.,non_sensitive
3,Hinglish,Work,8–10,3,Hinglish,"In homework time, choose Self-control: Respect for teachers (Guru).",Respect for teachers (Guru),Proverbs 3:5,Trust in the Lord with all your heart.,Respect for teachers (Guru) ke dauran homework time mein self-control dikhana seekhein. Line mein aage nahi ghusna chahiye.,Create a recycling checklist for your class.,What is one way to show self-control during homework time?,By practicing respect for teachers (guru) and remembering Proverbs 3:5 — Trust in the Lord with all your heart.,non_sensitive
4,Hinglish,Helping,8–10,3,Hinglish,"In family meals, choose Peacemaking: Respect for diverse languages.",Respect for diverse languages,Micah 6:8,"Act justly, love mercy, and walk humbly with your God.","Respect for diverse languages ke dauran family meals mein peacemaking dikhana seekhein. Paani bachao, future bachao.",Make a thank-you card for a helper.,What is one way to show peacemaking during family meals?,"By practicing respect for diverse languages and remembering Micah 6:8 — Act justly, love mercy, and walk humbly with your God.",non_sensitive
5,Hinglish,Helping,10–12,3,Hinglish,Show Hard work when you morning assembly: Digital kindness in chats.,Digital kindness in chats,Matthew 7:12,Do to others what you would have them do to you.,Digital kindness in chats ke dauran morning assembly mein hard work dikhana seekhein. Please aur thank you bolna chahiye.,Start a 7‑day kindness chart at home.,What is one way to show hard work during morning assembly?,By practicing digital kindness in chats and remembering Matthew 7:12 — Do to others what you would have them do to you.,non_sensitive
6,Hinglish,Health,10–12,1,Hinglish,"In temple/church visits, choose Stewardship: Respect for teachers (Guru).",Respect for teachers (Guru),Micah 6:8,"Act justly, love mercy, and walk humbly with your God.",Respect for teachers (Guru) ke dauran temple/church visits mein stewardship dikhana seekhein. Line mein aage nahi ghusna chahiye.,Act out a short skit with friends.,What is one way to show stewardship during temple/church visits?,"By practicing respect for teachers (guru) and remembering Micah 6:8 — Act justly, love mercy, and walk humbly with your God.",non_sensitive
7,Hinglish,Technology,10–12,2,Hinglish,"In library hour, choose Gratitude: Keeping temples and parks clean.",Keeping temples and parks clean,Matthew 7:12,Do to others what you would have them do to you.,Keeping temples and parks clean ke dauran library hour mein gratitude dikhana seekhein. Sach bolna zaroori hai.,Design a poster about the verse.,What is one way to show gratitude during library hour?,By practicing keeping temples and parks clean and remembering Matthew 7:12 — Do to others what you would have them do to you.,non_sensitive
8,Hinglish,Respect,10–12,1,Hinglish,God cares about rainy season; practice Peacemaking: Helping neighbors during festivals.,Helping neighbors during festivals,Ephesians 4:32,"Be kind and compassionate to one another, forgiving each other.",Helping neighbors during festivals ke dauran rainy season mein peacemaking dikhana seekhein. Sab ke saath share karna accha hota hai.,Act out a short skit with friends.,What is one way to show peacemaking during rainy season?,"By practicing helping neighbors during festivals and remembering Ephesians 4:32 — Be kind and compassionate to one another, forgiving each other.",non_sensitive
9,Hinglish,Helping,6–8,1,English,God cares about park clean-ups; practice Honesty: Helping neighbors during festivals.,Helping neighbors during festivals,Proverbs 22:1,A good name is more desirable than great riches.,"During park clean-ups, practice honesty. Helping neighbors during festivals is a simple way to show care for others.",Draw a comic showing the lesson.,What is one way to show honesty during park clean-ups?,By practicing helping neighbors during festivals and remembering Proverbs 22:1 — A good name is more desirable than great riches.,non_sensitive
10,Hinglish,Creativity,6–8,2,Hinglish,Be Mercy in temple/church visits: Handwashing before meals.,Handwashing before meals,Proverbs 12:22,"The Lord detests lying lips, but he delights in people who are trustworthy.",Handwashing before meals ke dauran temple/church visits mein mercy dikhana seekhein. Sach bolna zaroori hai.,Draw a comic showing the lesson.,What is one way to show mercy during temple/church visits?,"By practicing handwashing before meals and remembering Proverbs 12:22 — The Lord detests lying lips, but he delights in people who are trustworthy.",non_sensitive
11,Hinglish,Festival,10–12,2,Hinglish,"In family meals, choose Hard work: Keeping temples and parks clean.",Keeping temples and parks clean,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.",Keeping temples and parks clean ke dauran family meals mein hard work dikhana seekhein. Sab ke saath share karna accha hota hai.,Create a recycling checklist for your class.,What is one way to show hard work during family meals?,"By practicing keeping temples and parks clean and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
