id,source,category,age_range,difficulty,language_style,title,india_concept,bible_reference,memory_verse,kid_friendly_explanation,activity_idea,kid_prompt,answer_key,safety_tag
1,Pew India Survey Dataset,Sports,8–10,1,English,Show Humility when you family meals: Lighting a diya in the evening.,Lighting a diya in the evening,Proverbs 22:1,A good name is more desirable than great riches.,"During family meals, practice humility. Lighting a diya in the evening is a simple way to show care for others.",Start a 7‑day kindness chart at home.,What is one way to show humility during family meals?,By practicing lighting a diya in the evening and remembering Proverbs 22:1 — A good name is more desirable than great riches.,non_sensitive
2,Pew India Survey Dataset,Helping,6–8,3,Hinglish,God cares about temple/church visits; practice Humility: Tying rakhi to show sibling care.,Tying rakhi to show sibling care,Proverbs 15:1,A gentle answer turns away wrath.,Tying rakhi to show sibling care ke dauran temple/church visits mein humility dikhana seekhein. Mandir/Gurudwara mein dheere baat karein.,Draw a comic showing the lesson.,What is one way to show humility during temple/church visits?,By practicing tying rakhi to show sibling care and remembering Proverbs 15:1 — A gentle answer turns away wrath.,non_sensitive
3,Pew India Survey Dataset,Creativity,10–12,1,Hinglish,"In library hour, choose Mercy: Helping serve langar at a gurudwara.",Helping serve langar at a gurudwara,Psalm 24:1,"The earth is the Lord’s, and everything in it.",Some families practice: Speaking softly in holy places. Show respect and let others pray or think peacefully. Helping serve langar at a gurudwara ke dauran library hour mein mercy dikhana seekhein. Buzurgon ko pranam karna chahiye.,Create a recycling checklist for your class.,What is one way to show mercy during library hour?,"By practicing helping serve langar at a gurudwara and remembering Psalm 24:1 — The earth is the Lord’s, and everything in it.",non_sensitive
4,Pew India Survey Dataset,Sports,6–8,3,Hinglish,Be Humility in classroom chores: Reading a moral story at bedtime.,Reading a moral story at bedtime,Proverbs 3:5,Trust in the Lord with all your heart.,Reading a moral story at bedtime ke dauran classroom chores mein humility dikhana seekhein. Dhanyavaad aur kripya bolna chahiye.,Design a poster about the verse.,What is one way to show humility during classroom chores?,By practicing reading a moral story at bedtime and remembering Proverbs 3:5 — Trust in the Lord with all your heart.,non_sensitive
5,Pew India Survey Dataset,Family,10–12,2,Hinglish,God cares about family meals; practice Hard work: Planting a tulsi and watering daily.,Planting a tulsi and watering daily,Philippians 2:4,"Look not only to your own interests, but also to the interests of others.",Planting a tulsi and watering daily ke dauran family meals mein hard work dikhana seekhein. Dhanyavaad aur kripya bolna chahiye.,Design a poster about the verse.,What is one way to show hard work during family meals?,"By practicing planting a tulsi and watering daily and remembering Philippians 2:4 — Look not only to your own interests, but also to the interests of others.",non_sensitive
6,Pew India Survey Dataset,Creativity,6–8,3,Hinglish,God cares about park clean-ups; practice Hard work: Helping serve langar at a gurudwara.,Helping serve langar at a gurudwara,Psalm 24:1,"The earth is the Lord’s, and everything in it.",Helping serve langar at a gurudwara ke dauran park clean-ups mein hard work dikhana seekhein. Mandir/Gurudwara mein dheere baat karein.,Make a thank-you card for a helper.,What is one way to show hard work during park clean-ups?,"By practicing helping serve langar at a gurudwara and remembering Psalm 24:1 — The earth is the Lord’s, and everything in it.",non_sensitive
7,Pew India Survey Dataset,Health,10–12,1,Hinglish,God cares about sports practice; practice Mercy: Gifting fruits when visiting someone.,Gifting fruits when visiting someone,Proverbs 3:5,Trust in the Lord with all your heart.,Some families practice: Thanking teachers (Guru) with a small note or flower. Show gratitude for learning. Gifting fruits when visiting someone ke dauran sports practice mein mercy dikhana seekhein. Ghar ke andar jute nahi pehne chahiye.,Draw a comic showing the lesson.,What is one way to show mercy during sports practice?,By practicing gifting fruits when visiting someone and remembering Proverbs 3:5 — Trust in the Lord with all your heart.,non_sensitive
8,Pew India Survey Dataset,Nature,10–12,1,English,"In music practice, choose Kindness: Bringing mithai to celebrate good news.",Bringing mithai to celebrate good news,Colossians 3:23,"Whatever you do, work at it with all your heart, as working for the Lord.","During music practice, practice kindness. Bringing mithai to celebrate good news is a simple way to show care for others.",Plant a seed and write a care plan.,What is one way to show kindness during music practice?,"By practicing bringing mithai to celebrate good news and remembering Colossians 3:23 — Whatever you do, work at it with all your heart, as working for the Lord.",non_sensitive
9,Pew India Survey Dataset,Family,8–10,2,English,Show Stewardship when you market visits: Sharing prasad after worship.,Sharing prasad after worship,Proverbs 15:1,A gentle answer turns away wrath.,"During market visits, practice stewardship. Sharing prasad after worship is a simple way to show care for others.",Make a thank-you card for a helper.,What is one way to show stewardship during market visits?,By practicing sharing prasad after worship and remembering Proverbs 15:1 — A gentle answer turns away wrath.,non_sensitive
10,Pew India Survey Dataset,Honesty,8–10,1,English,"In morning assembly, choose Mercy: Sharing prasad after worship.",Sharing prasad after worship,Philippians 2:4,"Look not only to your own interests, but also to the interests of others.","During morning assembly, practice mercy. Sharing prasad after worship is a simple way to show care for others.",Draw a comic showing the lesson.,What is one way to show mercy during morning assembly?,"By practicing sharing prasad after worship and remembering Philippians 2:4 — Look not only to your own interests, but also to the interests of others.",non_sensitive
